Major,Number,,,Department,Faculty,,,,,,,,,
french,History,week6,Wednesday,3/28/18,Social Mobility and Higher Ed in Brazil,Durham,19,John French,,,,,,
murphy,Neuroscience|Psychology,week9,Monday,4/16/18,Sports and Concussions,Durham,20,Karen Murphy,,,,,,
beardsley,Political Science,week4,Monday,3/5/18,From Academic Research to Public Policy,Chapel Hill,21,Kyle Beardsley,,,,,,
casa,Romance Studies,week6,Thursday,3/29/18,Italian Society and Politics,,22,Laura Casa,,,,,,
carin,Electrical & Computer Engineering,week3,Thursday,3/1/18,Machine Learning,Chapel Hill,23,Lawrence Carin,,,,,,
leachman,Economics,week8,Tuesday,4/10/18,Trade wars and inequality,Durham,24,Lori Leachman,,,,,,
bergin,Environmental Engineering,week3,Tuesday,2/27/18,The Future of Work,Chapel Hill,25,Michael Bergin,,,,,,
connolly,Economics,week7,Wednesday,4/4/18,Economics Research: academia to governance,Durham,26,Michelle Connolly,,,,,,
ng,Neuroscience,week7,Thursday,4/5/18,Humanzing Androids,Durham,27,Minna Ng,,,,,,
morton,Board of Trustees|ECE,week8,Thursday,4/12/18,"What do you like about Duke, and how should Duke change?",Hillsborough,28,Nan Jokerst and Patricia Morton,,,,,,
napoli,Public Policy,week9,Tuesday,4/17/18,Economic Challenges Facing Journalism,Durham,29,Philip Napoli,,,,,,
riddell,Board of Trustees,week6,Tuesday,3/27/18,Graduation Day gains,Durham,30,Richard Riddell,,,,,,
huettel,Neuroscience|ECE,week6,Thursday,3/29/18,Making Good Decisions,Chapel Hill,31,Scott and Lisa Huettel,,,,,,
daily,Electrical & Computer Engineering|Computer Science,week9,Monday,4/16/18,How not to be an entrepreneur,,32,Shaundra Daily,,,,,,
nowicki,Biology|Undergraduate Studies,week4,Tuesday,3/6/18,Why did you come to college?,Durham,33,Stephen Nowicki,,,,,,
smith,African and American Studies,week5,Tuesday,3/20/18,Journalism and Media Perceptions of Africa,Chapel Hill,34,Stephen Smith,,,,,,
newpher,Neuroscience,week2,Wednesday,2/21/18,Active Learning and Student Centered Pedagogies,Hillsborough,35,Thomas Newpher,,,,,,
bletsch,Electrical & Computer Engineering,week5,Tuesday,3/20/18,Beyond the Classroom,Durham,36,Tyler Bletsch,,,,,,
chafe,History,week3,Wednesday,2/28/18,Diversity at Duke,Chapel Hill,37,William Chafe,,,,,,
,,,,,,,,,,,,,,
Fall 2017,,,,,,,,,,,,,,
FacultyKey,Department,Week,Day of Week,Date,Topic,Where,ID,FacultyName,,,,,,
rojas,Asian & Middle Eastern Studies,,,,,,,Carlos Rojas,,,,,,
ching,Asian & Middle Eastern Studies,,,,,,,Leo Ching,,,,,,
nowicki,Biology,,,,,,,Dean Nowicki,,,,,,
johnsen,Biology,,,,,,,Sonke Johnsen,,,,,,
yoder,Biology,,,,,,,Anne Yoder,,,,,,
broverman,Biology|Global Health,,,,,,,Sherryl Broverman,,,,,,
kabala,Environmental Engineering,,,,,,,Zbigniew Kabala,,,,,,
rudin,Computer Science,,,,,,,Cynthia Rudin,,,,,,
tomasi,Computer Science,,,,,,,Carlo Tomasi,,,,,,
astrachan,Computer Science,,,,,,,Owen Astrachan,,,,,,
kirk,Cultural Anthropology,,,,,,,Robin Kirk,,,,,,
rasiel,Economics,,,,,,,Emma Rasiel,,,,,,
brent,Economics,,,,,,,Jason Brent,,,,,,
mottahedeh,English,,,,,,,Negar Mottahedeh,,,,,,
deutsch,History,,,,,,,Sarah Deutsch,,,,,,
duara,History,,,,,,,Prasenjit Duara,,,,,,
edwards,History,,,,,,,Laura Edwards,,,,,,
